id,chat,label,cleaned_message
1434,perempuan kaya lo mending mati aja deh jelek aja gausa sok make up artist jg ujungnya dientot,harassment,perempuan kaya lo mending mati saja deh jelek saja gausa sok make up artist juga ujungnya dientot
1435,ghosting gitu janjian login jam 6 sore ya login jam segitu tu dah jam 9 malem tauk,neutral,ghosting gitu janjian login jam sore ya login jam segitu tu dah jam malem tauk
1436,user user user metodenya sih kampret bgt \xf0\x9f\x98\x82\xf0\x9f\x98\x82,violence,metodenya kampret banget
1437,user ten hyung bahasa china\n\ntp dikit dikit,neutral,ten hyung bahasa chinantp dikit dikit
1438,hadirkan kesegaran gaya koleksi pakaian musim semi dapatkan 2 produk harga spesial,neutral,hadirkan kesegaran gaya koleksi pakaian musim semi dapatkan produk harga spesial
1439,dah nonton boruto episode sebangsat penulisnya bikin cerita ya,violence,dah nonton boruto episode sebangsat penulisnya bikin cerita ya
1440,user user user haha sempit banget pikiranmu bang kampet cebong doang kasian,racist,haha sempit banget pikiranmu bang kampet cebong doang kasian
1441,warga dusun mambangpanasan lestarikan budaya sedekah bumi,neutral,warga dusun mambangpanasan lestarikan budaya sedekah bumi
1442,user user user user jawa tinggal gereja katholik jawa konon temen khatolik digreja khotbahnya pakai bahasa jawa kunokrama kromo alusjawa alus,neutral,jawa tingal gereja katholik jawa konon temen khatolik digreja khotbahnya pakai bahasa jawa kunokrama kromo alusjawa alus
1443,lore game keren banget bro lu ga bosen ngikutinnya,neutral,lore game keren banget bro kamu tidak bosen ngikutinya
1444,user iya sipit\xf0\x9f\x98\xb3lah ketawa\niya jgn marah ya skincare mahal\xf0\x9f\x98\x82,racist,iya sipitlah ketawaniya jangan marah ya skincare mahal
1445,user ga bnyk bacot pdhl,neutral,tidak bnyk bacot pdhl
1446,jowo emang ga jujur serba ditutupi kayah loh yg keluarpun suara radio rusak pitanya belibet\xf0\x9f\x98\x8e,racist,jowo memang tidak jujur serba ditutupi kayah loh yang keluarpun suara radio rusak pitanya belibet
1447,user gausah sok cool gitu ngetik jutek ga cocok udik bgt,violence,gausah sok col gitu ngetik jutek tidak cocok udik banget
1448,payah bener dah kecoak tu ga kasih kesempatan menang,violence,payah benar dah kecoak tu tidak kasih kesempatan menang
1449,red flag banget sih cowo mending lu cari cowo lu menyesal,neutral,red flag banget cowo mending kamu cari cowo kamu menyesal
1450,user user tunggu aksi bela kafir,violence,tungu aksi bela kafir
1451,ngakakkk bgt yg gak kepick ya derita\n\nice mochi gua\n\nlo gak pantes taken\n\nlo cacad,violence,ngakak banget yang tidak kepick ya deritanice mochi guanlo tidak pantes takenlo cacad
1452,user kalo manusia doyan sontoloyo model ginian,violence,kalau manusia doyan sontoloyo model ginian
1453,subjek kesusasteraan melayu tiada nilai ekonomi orang melayu rerata tiada sanggup bersaing orang cina,racist,subjek kesusasteran melayu tiada nilai ekonomi orang melayu rerata tiada sangup bersaing orang cina
1454,maen gua crot yona 2 kali lo ga percaya,harassment,maen gua crot yona kali lo tidak percaya
1455,user cebong senior nihh,violence,cebong senior
1456,user user yg sumbu pendek mendukung penista agama islam dgn almaidah 51 skrg mencakmencak dgn kedunguannya,violence,yang sumbu pendek mendukung penista agama islam dengan almaidah skrg mencakmencak dengan kedunguanya
1457,user user protes mulu u kayak dpr bacot,violence,protes mulu u kayak dpr bacot
1458,user user lu yg tnggi 169 bb 53 aj udah brasa kurusaplgi gue yg 185 bb 55 cungkring bgt kn \n\niya idealnya 65kgmsih dn gk prnah smpek wlpun hnya 60wktu prnah naek smpek 68 dn gue demam turun lgi 5455,neutral,kamu yang tngi b aj sudah brasa kurusaplgi saya yang b cungkring banget kn niya idealnya kgmsih dn gk prnah smpek wlpun hnya wktu prnah naek smpek dn saya demam turun lgi
1459,user user cebong ngerti,violence,cebong ngerti
1460,nikmati kualitas premium koleksi pakaian brand diskon 30 produk pilihan,neutral,nikmati kualitas premium koleksi pakaian brand diskon produk pilihan
1461,set dah batere gw udah tinggal 5 ni kalo tau tau gw dc arap maklum ya,neutral,set dah batere saya sudah tingal ni kalau tau tau saya dc arap maklum ya
1462,user user user re res\ncebong klo ga goblok ya bloon re mklumin aje,violence,re resncebong klo tidak goblok ya blon re mklumin aje
1463,user \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 bencong idiot it kl yg ga berani pk akun asli sebar hoax fitnah skrng cb liat aja akun lu cong \xf0\x9f\x98\x82\xf0\x9f\x98\x82,harassment,bencong idiot it kl yang tidak berani pk akun asli sebar hoax fitnah skrng cb liat saja akun kamu cong
1464,koq bisabisanya elu digangbang orang segitu ngerasa kecakepan kah ato emang sangean parah,harassment,koq bisabisanya elu digangbang orang segitu ngerasa kecakepan kah ato memang sangean parah
1465,user user orang klu kafir krn hasil perbuatannya krn tuduhan orang klu kafir krn kmu perbuatan kafir dikasih tau umat klu yg kmu lakukan kekafiran umat menjauhkan perbuatan yg,neutral,orang klu kafir krn hasil perbuatanya krn tuduhan orang klu kafir krn kmu perbuatan kafir dikasih tau umat klu yang kmu lakukan kekafiran umat menjauhkan perbuatan yang
1466,mendingan bajingan hati iman rupawan kelakuan kayak preman,neutral,mendingan bajingan hati iman rupawan kelakuan kayak preman
1467,user sipit ah lu melek,racist,sipit ah kamu melek
1468,tulen apapun lelaki dikejar banci lari,neutral,tulen apapun lelaki dikejar banci lari
1469,user user user user nih utang si bencong mingkem si gembel warnet banci kaleng \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3,harassment,utang si bencong mingkem si gembel warnet banci kaleng
1470,biadab kontol ga tau diuntung monyet,violence,biadab kontol tidak tau diuntung monyet
1471,hubungannya anak layangan kampungan gan,neutral,hubunganya anak layangan kampungan gan
1472,user user user user user cebong dinasehati bu ga mempan mempannya diludahi 3x disebelah kiri baca auzubillah,violence,cebong dinasehati bu tidak mempan mempanya diludahi x disebelah kiri baca auzubilah
1473,gerombolan ban taplak rindu kerusuhan hati2 dikabul tuhan,racist,gerombolan ban taplak rindu kerusuhan hati dikabul tuhan
1474,terima kasih menerus membangunkankan ekonomi negara diserang pelbagai sudut senang kemajuan,neutral,terima kasih menerus membangunkankan ekonomi negara diserang pelbagai sudut senang kemajuan
1475,user maju lu asu url,violence,maju kamu asu url
1476,susumu diremes keenakan khan ngaku aja,harassment,susumu diremes kenakan khan ngaku saja
1477,fangirl rata2 main twitter \nya kalo main ig uangnya cepet abis beli kuota merch antekanteknya god im done with this,neutral,fangirl rata main twiter nya kalau main ig uangnya cepet abis beli kuota merch antekanteknya god im done with this
1478,heh arab bahlul ga menang lu bolak nyebut,racist,heh arab bahlul tidak menang kamu bolak nyebut
1479,keknya gua paham deh selera bias gua\nvocal rapp or singing\ngemay\nsipit,neutral,keknya gua paham deh selera bias guanvocal rap or singingngemaynsipit
1480,orang menyukai menyukaimu bagimu setia,neutral,orang menyukai menyukaimu bagimu setia
1481,user user user user woy bos lo bilang sih krn org hina agama lo trus si brengsek bersalah dibenarkan tindakannya ajaran ga heran lo junjung hrs\xf0\x9f\x98\x82,violence,woy bos lo bilang krn org hina agama lo terus si brengsek bersalah dibenarkan tindakanya ajaran tidak heran lo junjung hrs
1482,user user user wkwkwkwkwk jawa kampang asu,racist,wkwkwkwkwk jawa kampang asu
1483,jiwa menyembuhkan tantangannya membungkam pikiran,neutral,jiwa menyembuhkan tantanganya membungkam pikiran
1484,user user jomblo jablay kayak perek,harassment,jomblo jablay kayak perek
1485,mpok silvi nyinyir melulu nya sayang sesat maklum sih dese emakemak,violence,mpok silvi nyinyir melulu nya sayang sesat maklum dese emakemak
1486,kebahagiaan ditemukan mencarinya memberikannya orang menemukan jalan kepadamu misteri kebahagiaan kebahagiaan tumbuh dibagikan,neutral,kebahagian ditemukan mencarinya memberikanya orang menemukan jalan kepadamu misteri kebahagian kebahagian tumbuh dibagikan
1487,sambungannya\nasu nih bocah url,violence,sambunganyanasu bocah url
1488,user user babi la terkejut \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad,violence,babi la terkejut
1489,ganyang pki beserta antekanteknya,violence,ganyang pki beserta antekanteknya
1490,user gak mobil yg parkir kondisi mesin mati terbakar bahaya mobil diparkir dlm garasi rumah penyebab kebakaran tdk kecuali mobil neno warisman past,neutral,tidak mobil yang parkir kondisi mesin mati terbakar bahaya mobil diparkir dlm garasi rumah penyebab kebakaran tidak kecuali mobil neno warisman past
1491,cewe emang mintanya dihamilin buktinya tu belahan dada keliatan udel keliatan,harassment,cewe memang mintanya dihamilin buktinya tu belahan dada keliatan udel keliatan
1492,user nyata rezim anti islam dibilang hoax,violence,nyata rezim anti islam dibilang hoax
1493,terbaik berhasil hidup bertindak berdasarkan nasihat orang,neutral,terbaik berhasil hidup bertindak berdasarkan nasihat orang
1494,3 sukai dunia matahari matahari siang malam dihatiku,neutral,sukai dunia matahari matahari siang malam dihatiku
1495,user budek buta otak mati jd sulit berharap,violence,budek buta otak mati jd sulit berharap
1496,parah nemplok nemplok item bagus mentang mentang cewe beneran rl pake memeknya morotin temen temen w,harassment,parah nemplok nemplok item bagus mentang mentang cewe beneran rl pake memeknya morotin temen temen w
1497,menhindar munafik sadar,neutral,menhindar munafik sadar
1498,orang batak emang kasar yak maen aja udah tu gua dibego begoin,racist,orang batak memang kasar yak maen saja sudah tu gua dibego begoin
1499,crot dalem binor emang enak lu hamilin lakinye bertangggung,harassment,crot dalem binor memang enak kamu hamilin lakinye bertangung
1500,cegah bangsa dr penjajahan aseng merajalela jago banget merendahkan pribumi,racist,cegah bangsa dari penjajahan aseng merajalela jago banget merendahkan pribumi
1501,parah skibidi ni otak ditaroh jamban kayak tai,violence,parah skibidi ni otak ditaroh jamban kayak tai
1502,user produk asing yg trlewat tlg buka lg sjrahislam lbh dlu msk cina ktimbang nusantarabju kokotaqwaitu asli cinabkn bdya kitadan jubah yg kau pake bdaya impor arabjd tlg lbh telanjang sj biar ucapan b sesu,racist,produk asing yang trlewat tlg buka lagi sjrahislam lbh dlu msk cina ktimbang nusantarabju kokotaqwaitu asli cinabkn bdya kitadan jubah yang kau pake bdaya impor arabjd tlg lbh telanjang sj biar ucapan b sesu
1503,bilang aja elo diperawani dasar cewe ga tau malu foto diumbarumbar,harassment,bilang saja elo diperawani dasar cewe tidak tau malu foto diumbarumbar
1504,cowo sunda pemalas ga lo diratuin lo dibabuin,racist,cowo sunda pemalas tidak lo diratuin lo dibabuin
1505,user najis mesum mulu,harassment,najis mesum mulu
1506,wajah kek nenek ya wajah kek babi bocil hitam jelek dekil panuan orang udik kampung pedalaman hutan jawa,racist,wajah kek nenek ya wajah kek babi bocil hitam jelek dekil panuan orang udik kampung pedalaman hutan jawa
1507,gua benci lagibatuq tau ga mosok laki laki cipokan mata,harassment,gua benci lagibatuq tau tidak mosok laki laki cipokan mata
1508,tertawalah menangislah maaf maafkan dimaafkan beralih kesalahan,neutral,tertawalah menangislah maf mafkan dimafkan beralih kesalahan
1509,emang user melek mata hatinya orang sipit ga mata hati,racist,memang melek mata hatinya orang sipit tidak mata hati
1510,user burung onta tinggal mar o\n\nitu makan telur burung unta shshhs,neutral,burung onta tingal mar onitu makan telur burung unta shshs
1511,user anjing2 kelaparan yg rakus duit skrg pesta pora curut2 maling duit rakyat makan kenyang skrg tereak2 kopar kapir aseng asing kedok goblokin pemujanya,violence,anjing kelaparan yang rakus duit skrg pesta pora curut maling duit rakyat makan kenyang skrg tereak kopar kapir aseng asing kedok goblokin pemujanya
1512,user user user bego,violence,bego
1513,user user user user user user user anak istri nya dpat tolong melupakan tuhan menuhankan saint tehnology skrng yg bangsa e,neutral,anak istri nya dpat tolong melupakan tuhan menuhankan saint tehnology skrng yang bangsa e
1514,w duduk sm kvld lg wkakakakaka meja sepetak kampang,violence,w duduk sama kvld lagi wkakakakaka meja sepetak kampang
1515,user knp nunggu smp usia baligh ato wali observasi suda fit u consummatum 1 suda mature 2 hamil kalo yahudi bar bat mitzvah masuk dewasa 12 cewe 13 cowo\n\n\xe2\x98\xba,neutral,kenapa nungu smp usia baligh ato wali observasi suda fit u consumatum suda mature hamil kalau yahudi bar bat mitzvah masuk dewasa cewe cowon
1516,tolol bedebah mati aja kau ga gunanya kau hidup,violence,tolol bedebah mati saja kau tidak gunanya kau hidup
1517,pacar lo gue aje gue muasin lo impoten,harassment,pacar lo saya aje saya muasin lo impoten
1518,user tau yahudi laknat,racist,tau yahudi laknat
1519,dasar otak ngeres pikiran cabul selangkangan mulu otak lo,harassment,dasar otak ngeres pikiran cabul selangkangan mulu otak lo
1520,user geblek udah didatengin polisi tau wkwk,violence,geblek sudah didatengin polisi tau
1521,user terkutuk engkau,violence,terkutuk engkau
1522,dasar orang papua ga aturan wilayahnya ga pake helm naek motor manamana,racist,dasar orang papua tidak aturan wilayahnya tidak pake helm naek motor manamana
1523,user user islam ya islam gak islam nusantara kriaten buddha hindu katolik jg gak embel2 nusantara,neutral,islam ya islam tidak islam nusantara kriaten budha hindu katolik juga tidak embel nusantara
1524,allah swt disembah2 muslim syetan halalkan rampasan ngajarkan tunduk patuh ngobarkan cocok2 penis,violence,alah swt disembah muslim syetan halalkan rampasan ngajarkan tunduk patuh ngobarkan cocok penis
1525,user user user user user user user user kya bersih suci aja tololtrskmu yg teriak\xc2\xb2 muslimudh berbuat utk sdra muslim muklo mkn aja msh ngemisg kopar kapirin orgbenci go,violence,kya bersih suci saja tololtrskmu yang teriak muslimudh berbuat untuk sdra muslim muklo makan saja msh ngemisg kopar kapirin orgbenci go
1526,game tu isinya jarang manusia ratarata anjing monyet babi,violence,game tu isinya jarang manusia ratarata anjing monyet babi
1527,muslim rohingya kehilangan kaki akibat ranjau darat yg ditanam teroris budha,racist,muslim rohingya kehilangan kaki akibat ranjau darat yang ditanam teroris budha
1528,pengen banget tu member gua ewe sampe mencret mencret,harassment,pengen banget tu member gua ewe sampe mencret mencret
1529,user hahaa tau mentok cangkem cocot ahhahahha,violence,haha tau mentok cangkem cocot ahahaha
1530,wasit picek,violence,wasit picek
1531,user user amukan massa hukum kemanusiaan persoalannya budaya mengakar dimasyarakat bersumber kekecewaan turuntemurun masyarakat penegakan hukum,neutral,amukan masa hukum kemanusian persoalanya budaya mengakar dimasyarakat bersumber kekecewan turuntemurun masyarakat penegakan hukum
1532,gasuka langung selesaiin bareng aja gausa ngirim setan yg suka sembarangan narok gelas ginilah pecahkan 3 biji aaarrggghhhh,neutral,gasuka langung selesain bareng saja gausa ngirim setan yang suka sembarangan narok gelas ginilah pecahkan biji argh
1533,kamar sebelah berisik ceplak ceplok ah uh ah uh ga tau kalo sebelahnya jomblo parah emang perek ama gigolo,harassment,kamar sebelah berisik ceplak ceplok ah uh ah uh tidak tau kalau sebelahnya jomblo parah memang perek ama gigolo
1534,warga asing eropa suka banget ngerendahin warga lokal item,racist,warga asing eropa suka banget ngerendahin warga lokal item
1535,user user fiksi prosa naratif bersifat imajiner imajiner fiksi tetaplah masuk akal mengandung kebenaran prosa naratif jenis tulisan menceritakan kejadian tujuan me,neutral,fiksi prosa naratif bersifat imajiner imajiner fiksi tetaplah masuk akal mengandung kebenaran prosa naratif jenis tulisan menceritakan kejadian tujuan me
1536,bodoh banget sihh\nudah gak jawab\nmalah terus\xf0\x9f\x98\x93\xf0\x9f\x98\xa5\nbodoh goblok sodaraan ya\nyasudah nama hidup\nmakasih yaa,violence,bodoh banget sihnudah tidak jawabnmalah terusnbodoh goblok sodaran yanyasudah nama hidupnmakasih ya
1537,10 orang terkaya indo 1 5 orang indonesia orang cina ngerih kalo indonesia kaya singapur pribumi usir,racist,orang terkaya indo orang indonesia orang cina ngerih kalau indonesia kaya singapur pribumi usir
1538,blom yg menarik dlm hidup dlm tampilan yg culun skalipun drama komedi amp tragedi,neutral,blom yang menarik dlm hidup dlm tampilan yang culun skalipun drama komedi amp tragedi
1539,user user sifat kampret cebong licik culas amp memfitna dasar cebong kampret,racist,sifat kampret cebong licik culas amp memfitna dasar cebong kampret
1540,ngerayu ga liat cewe bening dikit game kebanyakan orang mesum,harassment,ngerayu tidak liat cewe bening dikit game kebanyakan orang mesum
1541,jatuh cinta serumit ya ngalamin spill the tea,neutral,jatuh cinta serumit ya ngalamin spil the tea
1542,user user bukti on bukti congor doang,violence,bukti on bukti congor doang
1543,user yuhuuuu \ntemen posko yg jadian 2 pasang lhoh yagitu keknya anget tai ayam \xf0\x9f\x98\x85 \nkalo mb janah sihgt bapernya bikin male skripsian\xf0\x9f\x98\x85 pengennya ngumpul ma tmn hahaha not always \bout love lhoh dek bapernya lbh kekeluargaan nya \xf0\x9f\x98\x82,harassment,yuhu ntemen posko yang jadian pasang lhoh yagitu keknya anget tai ayam nkalo mb janah sihgt bapernya bikin male skripsian pengenya ngumpul ma tmn hahaha not always bout love lhoh dek bapernya lbh kekeluargan nya
1544,menurutnya orang budha berbuat agama mengajarkan kebaikan kasih sayang nya,neutral,menurutnya orang budha berbuat agama mengajarkan kebaikan kasih sayang nya
1545,user user user user iya lu manusia berkelakuan cebong hina marah dihina,violence,iya kamu manusia berkelakuan cebong hina marah dihina
1546,user user medium pura2 bego ajak2 bego orang namanya pembodohan parah,violence,medium pura bego ajak bego orang namanya pembodohan parah
1547,user bicara agama ajaran sesat menyebabkan korban ok,neutral,bicara agama ajaran sesat menyebabkan korban ok
1548,dipikir pikir kalo ga dipikir ngelunjak aaaaaarrghhhh pusiiiiing,neutral,dipikir pikir kalau tidak dipikir ngelunjak argh pusing
1549,bangga orang islam,neutral,banga orang islam
1550,user indonesia komunis liberal akur ideologi ya diomong antek komunis liberal asing sedih yo ma,racist,indonesia komunis liberal akur ideologi ya diomong antek komunis liberal asing sedih yo ma
1551,guru ngaji bilang main sepak bola sepak bola olah raganya pki sdh dikatain antek komunis,violence,guru ngaji bilang main sepak bola sepak bola olah raganya pki sudah dikatain antek komunis
1552,ga baper ygy klo ngaku cinta cintaan dunia nyata asli cewe,neutral,tidak baper ygy klo ngaku cinta cintan dunia nyata asli cewe
1553,user melihara tuyul,violence,melihara tuyul
1554,user user user tdk bilang musnahkan org yg mengkafirkan org lain\nklu bicara hukum ya dgn bunuh kafir klu org sdh masuk intimidasi amp ancaman yg sdh masuk dalil hukum,neutral,tidak bilang musnahkan org yang mengkafirkan org lainklu bicara hukum ya dengan bunuh kafir klu org sudah masuk intimidasi amp ancaman yang sudah masuk dalil hukum
1555,temanin ines malam bang ines sange berat hub ines ya jamin puas\xe2\x80\xa6,harassment,temanin ines malam bang ines sange berat hub ines ya jamin puas
1556,gue retweet video nya sedih kasihan ntar viral takut org2 idiot yg ngebully mas2 si korban bully dr tmn mahasiswa nya yg dr ui yg ternama bgt prayformahasiswaui,violence,saya retwet video nya sedih kasihan ntar viral takut org idiot yang ngebuly mas si korban buly dari tmn mahasiswa nya yang dari ui yang ternama banget prayformahasiswaui
1557,user edan,violence,edan
1558,gitar kupetik ba kubetot hai nona cantik ayo ngentot,harassment,gitar kupetik ba kubetot hai nona cantik ayo ngentot
1559,nangisnangisan ga bersuara besoknya melanjutkan hidup,neutral,nangisnangisan tidak bersuara besoknya melanjutkan hidup
1560,mani lu encer ga bikin hamil cewe impoten,harassment,mani kamu encer tidak bikin hamil cewe impoten
1561,engga ngerti komunis ngertinya komanis,neutral,enga ngerti komunis ngertinya komanis
1562,bangsad gue modar cok lawannya orang gila pake duit menang,violence,bangsad saya modar cok lawanya orang gila pake duit menang
1563,dasar antek yahudi zionis dilaknat allah,racist,dasar antek yahudi zionis dilaknat alah
1564,org yahudi hina rasullah rasullah marah rasullah doa suruh mati rasullah berhatap islam,neutral,org yahudi hina rasulah rasulah marah rasulah doa suruh mati rasulah berhatap islam
1565,user u yg bego,violence,u yang bego
1566,muka lo kayak sempak ga bagusnya,harassment,muka lo kayak sempak tidak bagusnya
1567,usir penjajah cina dr bumi indonesia,racist,usir penjajah cina dari bumi indonesia
1568,user verif cpt lw sipit,racist,verif cpt lw sipit
1569,berusaha kaya gimna coba gw yg ky gw ngorbanin wktu pergi pagi pulang malemsinting loe \xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0,violence,berusaha kaya gimna coba saya yang ky saya ngorbanin wktu pergi pagi pulang malemsinting loe
1570,user vcs yuk tante kontol gede nih,harassment,vcs yuk tante kontol gede
1571,user user \nuser \nuser \ntulisanya sll menyudutkan pemerintah ada2 issue tka cina sdh ga ditulis lg semenjak dibuktikan user berkunjung polewalikalo blom waaah itu2 aja yg ditulis,neutral,nuser nuser ntulisanya sl menyudutkan pemerintah ada isue tka cina sudah tidak ditulis lagi semenjak dibuktikan berkunjung polewalikalo blom itu saja yang ditulis
1572,user user yaa elaj cebong gak kreatif bgtikut2 bahasa pakecebong anak kodok nabi lu si kodok lu panggil cebong laknat,racist,ya elaj cebong tidak kreatif bgtikut bahasa pakecebong anak kodok nabi kamu si kodok kamu pangil cebong laknat
1573,user user user j nih cebong bangsad cepet modar luh bong hama j luh bangsad,violence,j cebong bangsad cepet modar luh bong hama j luh bangsad
1574,tubuh lo molek lo dapetin lo kalo lo emang gitu beneran lo pecun,harassment,tubuh lo molek lo dapetin lo kalau lo memang gitu beneran lo pecun
1575,warga baduy selesai memperingati tradisi seba pendopo pemkab lebak dilanjutkan bertemu gubernur banten wahidin halim sabtu 214,neutral,warga baduy selesai memperingati tradisi seba pendopo pemkab lebak dilanjutkan bertemu gubernur banten wahidin halim sabtu
1576,user user user user user user user user user user user bilangin wendy unnie suru jemput vider dijual mucikari,harassment,bilangin wendy unie suru jemput vider dijual mucikari
1577,ok tdk apaalahh lepasni diam2 jd biar sndiri yg sakit hati pendam smpai mampus okbaii,neutral,ok tidak apalah lepasni diam jd biar sndiri yang sakit hati pendam smpai mampus okbai
1578,emang sih ra sipit sukanya sipit kalo gue matanya belok gini,racist,memang ra sipit sukanya sipit kalau saya matanya belok gini
1579,pertunjukan seni budaya artis event,neutral,pertunjukan seni budaya artis event
1580,oh botak pekerja ampas hitam jelek pekat kalo malem keliatan gigi doang,racist,oh botak pekerja ampas hitam jelek pekat kalau malem keliatan gigi doang
1581,td meeting sm org asing yg pekerja lapangan\n\npercayalah org lapangan kece asik cool drpd org kantoran org kantoran rata2 nerd suka belajar \xf0\x9f\x98\x85,neutral,td meting sama org asing yang pekerja lapanganpercayalah org lapangan kece asik col drpd org kantoran org kantoran rata nerd suka belajar
1582,pala lo w tembak pala lo sampe otaknya berceceran,violence,pala lo w tembak pala lo sampe otaknya berceceran
1583,kurelakan berkalikali koq sebaper ygy,neutral,kurelakan berkalikali koq sebaper ygy
1584,suka video user ngentot ramerame jejogetan,harassment,suka video ngentot ramerame jejogetan
1585,user user user pekerja asing emang ga tau diuntung,racist,pekerja asing memang tidak tau diuntung
1586,gue gamau nyindir kesannya nyindir hadeeehhh bego wkwk,violence,saya gamau nyindir kesanya nyindir hadeh bego
1587,user pengen jilat memek,harassment,pengen jilat memek
1588,menyala abangku ggwp,neutral,menyala abangku gwp
1589,gtv eek conqueror bgst gtv bantu gw karma dendi delio \xf0\x9f\x98\xad\xf0\x9f\x98\xadi need best jungler,violence,gtv ek conqueror bgst gtv bantu saya karma dendi delio i ned best jungler
1590,user user user user user user ooo tau sy kristen nusantara konghucu nusantara buddha nusantara ya ma hindu nusantara jg ya hindu bali sih yg sy dengar islam bali ga i,neutral,o tau sy kristen nusantara konghucu nusantara budha nusantara ya ma hindu nusantara juga ya hindu bali yang sy dengar islam bali tidak i
1591,ayo dukung te baca al quran capres 2019 beragama islam user user ga baca al quran capres rt setuju,neutral,ayo dukung te baca all quran capres beragama islam tidak baca all quran capres rt setuju
1592,anaknya si napi cina kafir yg usir,racist,anaknya si napi cina kafir yang usir
1593,user user mafia wasit mah milanisti aseng juventini senior mah seangkatan gue,racist,mafia wasit mah milanisti aseng juventini senior mah seangkatan saya
1594,senyumnya manis banget kayak apotek tutup ga obat,neutral,senyumnya manis banget kayak apotek tutup tidak obat
1595,user user salah bangsat pengecut indonesia\nyang didukung bangsat pengecut ban onta groupnya kabur arab sono\ningattuhan tidur ga kayak kata tu cina,racist,salah bangsat pengecut indonesianyang didukung bangsat pengecut ban onta groupnya kabur arab sononingatuhan tidur tidak kayak kata tu cina
1596,user user udah gak nangkep kalimat sok pinter sekolam pake ngata2in islam kasihan banget temen cebong lo islam udah mah mati2an belain cebong kapir gak taunya agama islam hina2 cebong kapir nih hahaha na,racist,sudah tidak nangkep kalimat sok pinter sekolam pake ngatain islam kasihan banget temen cebong lo islam sudah mah matian belain cebong kapir tidak taunya agama islam hina cebong kapir hahaha na
1597,user hah dasar cina perhitungan,racist,hah dasar cina perhitungan
1598,sinyal 4g d pekanbaru ni kacrut lemot kura2 dah direstart,violence,sinyal g d pekanbaru ni kacrut lemot kura dah direstart
1599,cabul mulu pikiran lo player cewe mulut isinya seputar sempak isinya,harassment,cabul mulu pikiran lo player cewe mulut isinya seputar sempak isinya
1600,bjir keren banget ulti namanya menyala abangkuh,neutral,bjir keren banget ulti namanya menyala abangkuh
1601,tobat orang berotak udang,violence,tobat orang berotak udang
1602,user sebutan yg terhormat kasihan sm cebong benerannya samain dgn kaum dungu,racist,sebutan yang terhormat kasihan sama cebong beneranya samain dengan kaum dungu
1603,user ya allah lu babi dek \n\ngpp maljumgiliran gue jaga lilin,neutral,ya alah kamu babi dek ngp maljumgiliran saya jaga lilin
1604,piye ma bagusnya pencerahan,neutral,piye ma bagusnya pencerahan
1605,terkadang mata orang,neutral,terkadang mata orang
1606,emang tu otak isinya pekob melulu parah dah pokoknya,harassment,memang tu otak isinya pekob melulu parah dah pokoknya
1607,user gatau taplak meja dirumah bentuk nya kaya gitu,neutral,gatau taplak meja dirumah bentuk nya kaya gitu
1608,user user zonkey seekor banci planga plongo,harassment,zonkey sekor banci planga plongo
1609,hahaha idiot bilang kpd orang2 kafir terurama nasrani pendukung2 orang kafir memasuki wilayah2 syariat islam,violence,hahaha idiot bilang kpd orang kafir terurama nasrani pendukung orang kafir memasuki wilayah syariat islam
1610,mainan ampas mobil kaum miskin parah bat dah,racist,mainan ampas mobil kaum miskin parah bat dah
1611,user jilatin sayang memek mu,harassment,jilatin sayang memek mu
1612,anjink maennya spam mulu ga kasih ampun,violence,anjink maenya spam mulu tidak kasih ampun
1613,keluarga binatang gak otak kalo separo,violence,keluarga binatang tidak otak kalau separo
1614,user ngentod yuk,harassment,ngentod yuk
1615,aset indonesia ambil orang asing freeport ambil amrik emang tu amrik ga aturan,racist,aset indonesia ambil orang asing freport ambil amrik memang tu amrik tidak aturan
1616,user tiati mencret \xf0\x9f\x98\x91\xf0\x9f\x98\x92,neutral,tiati mencret
1617,melanggar undangundang apapun,neutral,melangar undangundang apapun
1618,ah tai gw mulu dijadiin bait,violence,ah tai saya mulu dijadin bait
1619,user dora sompret,violence,dora sompret
1620,kehilangan kepercayaan kemanusiaan kemanusiaan samudra tetes samudra kotor samudra kotor,neutral,kehilangan kepercayan kemanusian kemanusian samudra tetes samudra kotor samudra kotor
1621,cupu lo dasar jablay alay pecinta sepong,harassment,cupu lo dasar jablay alay pecinta sepong
1622,terlambat terlambat terlambat bahagia,neutral,terlambat terlambat terlambat bahagia
1623,lag parah kek siput koneksi bentar dc dah,neutral,lag parah kek siput koneksi bentar dc dah
1624,sumbangan gaza jgnlah penyumbang yahudi,neutral,sumbangan gaza jgnlah penyumbang yahudi
1625,emak lo kek mak lampir lo kek gerandong,violence,emak lo kek mak lampir lo kek gerandong
1626,user move on mantanku yg sipit sipit gemesin gitu ih,neutral,move on mantanku yang sipit sipit gemesin gitu ih
1627,hahhaa kacian deh loe dikatain buihh emang pantes sihh,violence,haha kacian deh loe dikatain buih memang pantes
